Node,Degree Centrality,Network Centralisation,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality,Harmonic Centrality,Clustering Coefficient,Graph Density,Rich Club Coefficient,Transitivity,Local Efficiency
0,0.0,7.236470210099986e-05,0.0,0.0,3.997392065975372e-59,0.0,0.0,0.0033009263242421635,0.28181246898076756,0.2192890747516989,0.08317306792451098
1,0.010169491525423728,7.236470210099986e-05,0.0,0.0,2.3596437889063927e-38,0.0,0.3333333333333333,0.0033009263242421635,0.28181246898076756,0.2192890747516989,0.08317306792451098
2,0.0,7.236470210099986e-05,0.0,0.0,3.997392065975372e-59,0.0,0.0,0.0033009263242421635,0.28181246898076756,0.2192890747516989,0.08317306792451098
3,0.0,7.236470210099986e-05,0.0,0.0,3.997392065975372e-59,0.0,0.0,0.0033009263242421635,0.28181246898076756,0.2192890747516989,0.08317306792451098
4,0.003389830508474576,7.236470210099986e-05,0.0,0.0,2.3596437889063927e-38,0.0,0.0,0.0033009263242421635,0.28181246898076756,0.2192890747516989,0.08317306792451098
5,0.0,7.236470210099986e-05,0.0,0.0,3.997392065975372e-59,0.0,0.0,0.0033009263242421635,0.28181246898076756,0.2192890747516989,0.08317306792451098
6,0.0,7.236470210099986e-05,0.0,0.0,3.997392065975372e-59,0.0,0.0,0.0033009263242421635,0.28181246898076756,0.2192890747516989,0.08317306792451098
7,0.003389830508474576,7.236470210099986e-05,0.0,0.0,2.3596437889063927e-38,0.0,0.0,0.0033009263242421635,0.28181246898076756,0.2192890747516989,0.08317306792451098
8,0.003389830508474576,7.236470210099986e-05,0.0,0.0,2.3596437889063927e-38,0.0,0.0,0.0033009263242421635,0.28181246898076756,0.2192890747516989,0.08317306792451098
9,0.003389830508474576,7.236470210099986e-05,0.0,0.0,2.3596437889063927e-38,0.0,0.0,0.0033009263242421635,0.28181246898076756,0.2192890747516989,0.08317306792451098
10,0.005084745762711864,7.236470210099986e-05,0.001694915254237288,0.0,8.376735450617696e-37,1.0,0.0,0.0033009263242421635,0.28181246898076756,0.2192890747516989,0.08317306792451098
11,0.003389830508474576,7.236470210099986e-05,0.0,0.0,2.3596437889063927e-38,0.0,0.0,0.0033009263242421635,0.28181246898076756,0.2192890747516989,0.08317306792451098
12,0.005084745762711864,7.236470210099986e-05,0.001694915254237288,0.0,8.37673545061769e-37,1.0,0.0,0.0033009263242421635,0.28181246898076756,0.2192890747516989,0.08317306792451098
13,0.005084745762711864,7.236470210099986e-05,0.0,0.0,2.3596437889063927e-38,0.0,0.0,0.0033009263242421635,0.28181246898076756,0.2192890747516989,0.08317306792451098
14,0.003389830508474576,7.236470210099986e-05,0.0,0.0,2.3596437889063927e-38,0.0,0.0,0.0033009263242421635,0.28181246898076756,0.2192890747516989,0.08317306792451098
15,0.0,7.236470210099986e-05,0.0,0.0,3.997392065975372e-59,0.0,0.0,0.0033009263242421635,0.28181246898076756,0.2192890747516989,0.08317306792451098
16,0.001694915254237288,7.236470210099986e-05,0.001694915254237288,0.0,2.7981744461827596e-57,1.0,0.0,0.0033009263242421635,0.28181246898076756,0.2192890747516989,0.08317306792451098
17,0.001694915254237288,7.236470210099986e-05,0.0,0.0,3.997392065975372e-59,0.0,0.0,0.0033009263242421635,0.28181246898076756,0.2192890747516989,0.08317306792451098
18,0.0,7.236470210099986e-05,0.0,0.0,3.997392065975372e-59,0.0,0.0,0.0033009263242421635,0.28181246898076756,0.2192890747516989,0.08317306792451098
19,0.0,7.236470210099986e-05,0.0,0.0,3.997392065975372e-59,0.0,0.0,0.0033009263242421635,0.28181246898076756,0.2192890747516989,0.08317306792451098
20,0.006779661016949152,7.236470210099986e-05,0.003813559322033898,0.0,8.482749789210209e-30,2.5,1.0,0.0033009263242421635,0.28181246898076756,0.2192890747516989,0.08317306792451098
21,0.003389830508474576,7.236470210099986e-05,0.002259887005649717,0.0,2.002505597516348e-30,1.5,1.0,0.0033009263242421635,0.28181246898076756,0.2192890747516989,0.08317306792451098
22,0.0,7.236470210099986e-05,0.0,0.0,3.997392065975372e-59,0.0,0.0,0.0033009263242421635,0.28181246898076756,0.2192890747516989,0.08317306792451098
23,0.003389830508474576,7.236470210099986e-05,0.001694915254237288,0.0,2.002505597516348e-30,1.0,0.0,0.0033009263242421635,0.28181246898076756,0.2192890747516989,0.08317306792451098
24,0.010169491525423728,7.236470210099986e-05,0.001694915254237288,5.755230065321861e-06,3.2401221194433676e-30,1.0,0.3333333333333333,0.0033009263242421635,0.28181246898076756,0.2192890747516989,0.08317306792451098
