Node,Degree Centrality,Network Centralisation,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality,Harmonic Centrality,Clustering Coefficient,Graph Density,Rich Club Coefficient,Transitivity,Local Efficiency
0,0.0,5.983898760952234e-05,0.0,0.0,1.3679270207807702e-196,0.0,0.0,0.002150537634408602,0.049979546125501886,0.10532407407407407,0.05344674246020971
1,0.00923076923076923,5.983898760952234e-05,0.004615384615384616,2.3705108450871163e-06,1.1018138318736186e-42,3.0,0.6666666666666666,0.002150537634408602,0.049979546125501886,0.10532407407407407,0.05344674246020971
2,0.0,5.983898760952234e-05,0.0,0.0,1.3679270207807702e-196,0.0,0.0,0.002150537634408602,0.049979546125501886,0.10532407407407407,0.05344674246020971
3,0.0,5.983898760952234e-05,0.0,0.0,1.3679270207807702e-196,0.0,0.0,0.002150537634408602,0.049979546125501886,0.10532407407407407,0.05344674246020971
4,0.004615384615384615,5.983898760952234e-05,0.0,0.0,1.3679270207807702e-196,0.0,0.6666666666666666,0.002150537634408602,0.049979546125501886,0.10532407407407407,0.05344674246020971
5,0.003076923076923077,5.983898760952234e-05,0.0,0.0,1.1687497529894554e-99,0.0,0.0,0.002150537634408602,0.049979546125501886,0.10532407407407407,0.05344674246020971
6,0.007692307692307693,5.983898760952234e-05,0.003461538461538462,0.0,1.1018138318736186e-42,2.5,1.0,0.002150537634408602,0.049979546125501886,0.10532407407407407,0.05344674246020971
7,0.0,5.983898760952234e-05,0.0,0.0,1.3679270207807702e-196,0.0,0.0,0.002150537634408602,0.049979546125501886,0.10532407407407407,0.05344674246020971
8,0.0,5.983898760952234e-05,0.0,0.0,1.3679270207807702e-196,0.0,0.0,0.002150537634408602,0.049979546125501886,0.10532407407407407,0.05344674246020971
9,0.0,5.983898760952234e-05,0.0,0.0,1.3679270207807702e-196,0.0,0.0,0.002150537634408602,0.049979546125501886,0.10532407407407407,0.05344674246020971
10,0.0,5.983898760952234e-05,0.0,0.0,1.3679270207807702e-196,0.0,0.0,0.002150537634408602,0.049979546125501886,0.10532407407407407,0.05344674246020971
11,0.0,5.983898760952234e-05,0.0,0.0,1.3679270207807702e-196,0.0,0.0,0.002150537634408602,0.049979546125501886,0.10532407407407407,0.05344674246020971
12,0.004615384615384615,5.983898760952234e-05,0.0020512820512820513,0.0,1.8933745998429195e-97,1.5,0.0,0.002150537634408602,0.049979546125501886,0.10532407407407407,0.05344674246020971
13,0.0,5.983898760952234e-05,0.0,0.0,1.3679270207807702e-196,0.0,0.0,0.002150537634408602,0.049979546125501886,0.10532407407407407,0.05344674246020971
14,0.0,5.983898760952234e-05,0.0,0.0,1.3679270207807702e-196,0.0,0.0,0.002150537634408602,0.049979546125501886,0.10532407407407407,0.05344674246020971
15,0.003076923076923077,5.983898760952234e-05,0.0028994082840236683,0.0,1.0228005223071106e-90,2.65,1.0,0.002150537634408602,0.049979546125501886,0.10532407407407407,0.05344674246020971
16,0.003076923076923077,5.983898760952234e-05,0.0036467236467236466,0.0,2.0142482224702016e-90,3.6500000000000004,1.0,0.002150537634408602,0.049979546125501886,0.10532407407407407,0.05344674246020971
17,0.0015384615384615385,5.983898760952234e-05,0.0028994082840236683,0.0,1.0228005223071106e-90,2.65,0.0,0.002150537634408602,0.049979546125501886,0.10532407407407407,0.05344674246020971
18,0.0,5.983898760952234e-05,0.0,0.0,1.3679270207807702e-196,0.0,0.0,0.002150537634408602,0.049979546125501886,0.10532407407407407,0.05344674246020971
19,0.0,5.983898760952234e-05,0.0,0.0,1.3679270207807702e-196,0.0,0.0,0.002150537634408602,0.049979546125501886,0.10532407407407407,0.05344674246020971
20,0.0,5.983898760952234e-05,0.0,0.0,1.3679270207807702e-196,0.0,0.0,0.002150537634408602,0.049979546125501886,0.10532407407407407,0.05344674246020971
21,0.0,5.983898760952234e-05,0.0,0.0,1.3679270207807702e-196,0.0,0.0,0.002150537634408602,0.049979546125501886,0.10532407407407407,0.05344674246020971
22,0.0,5.983898760952234e-05,0.0,0.0,1.3679270207807702e-196,0.0,0.0,0.002150537634408602,0.049979546125501886,0.10532407407407407,0.05344674246020971
23,0.003076923076923077,5.983898760952234e-05,0.0,0.0,1.3679270207807702e-196,0.0,0.0,0.002150537634408602,0.049979546125501886,0.10532407407407407,0.05344674246020971
24,0.003076923076923077,5.983898760952234e-05,0.0,0.0,1.3679270207807702e-196,0.0,0.0,0.002150537634408602,0.049979546125501886,0.10532407407407407,0.05344674246020971
25,0.0015384615384615385,5.983898760952234e-05,0.0015384615384615385,0.0,4.418404277121892e-194,1.0,0.0,0.002150537634408602,0.049979546125501886,0.10532407407407407,0.05344674246020971
26,0.0015384615384615385,5.983898760952234e-05,0.0015384615384615385,0.0,4.418404277121892e-194,1.0,0.0,0.002150537634408602,0.049979546125501886,0.10532407407407407,0.05344674246020971
27,0.0,5.983898760952234e-05,0.0,0.0,1.3679270207807702e-196,0.0,0.0,0.002150537634408602,0.049979546125501886,0.10532407407407407,0.05344674246020971
28,0.0,5.983898760952234e-05,0.0,0.0,1.3679270207807702e-196,0.0,0.0,0.002150537634408602,0.049979546125501886,0.10532407407407407,0.05344674246020971
29,0.003076923076923077,5.983898760952234e-05,0.0,0.0,1.1687497529894554e-99,0.0,0.0,0.002150537634408602,0.049979546125501886,0.10532407407407407,0.05344674246020971
