Node,Degree Centrality,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality,Harmonic Centrality,Clustering Coefficient
0,0.0,0.0,0.0,9.778180559065023e-28,0.0,0.0
1,0.037500000000000006,0.016666666666666666,0.0,2.5999022765334725e-05,1.5,0.0
2,0.0625,0.0125,0.00015822784810126583,2.5999022765334725e-05,1.0,0.0
3,0.0125,0.0,0.0,9.778180559065023e-28,0.0,0.0
4,0.0,0.0,0.0,9.778180559065023e-28,0.0,0.0
5,0.037500000000000006,0.0125,0.0,2.752313145135409e-13,1.0,0.0
6,0.025,0.0,0.0,1.3761565725677083e-13,0.0,0.0
7,0.025,0.0,0.0,1.3761565725677083e-13,0.0,0.0
8,0.05,0.0,0.0,1.3761565725677083e-13,0.0,0.0
9,0.05,0.0125,0.00015822784810126583,3.371583602790885e-12,1.0,0.0
10,0.037500000000000006,0.016666666666666666,0.0,4.056221497643319e-11,1.5,0.0
11,0.025,0.0,0.0,1.3761565725677083e-13,0.0,0.0
12,0.0,0.0,0.0,9.778180559065023e-28,0.0,0.0
13,0.025,0.0,0.0,1.3761565725677083e-13,0.0,0.0
14,0.05,0.0125,0.00015822784810126583,3.371583602790885e-12,1.0,0.0
15,0.037500000000000006,0.016666666666666666,0.0,4.056221497643319e-11,1.5,0.0
16,0.025,0.0,0.0,1.3761565725677083e-13,0.0,0.0
17,0.025,0.0,0.0,1.3761565725677083e-13,0.0,0.0
18,0.037500000000000006,0.0,0.0,1.3761565725677083e-13,0.0,0.0
19,0.037500000000000006,0.0125,0.0,3.371583602790885e-12,1.0,0.0
20,0.037500000000000006,0.0,0.0,1.3761565725677083e-13,0.0,0.0
21,0.05,0.0125,0.00031645569620253165,3.371583602790885e-12,1.0,0.0
22,0.05,0.016666666666666666,0.00031645569620253165,4.056221497643319e-11,1.5,0.0
23,0.0125,0.01875,0.0,3.7328247030899084e-11,1.8333333333333333,0.0
24,0.0,0.0,0.0,9.778180559065023e-28,0.0,0.0
25,0.025,0.0,0.0,1.3761565725677083e-13,0.0,0.0
26,0.037500000000000006,0.0,0.0,1.3761565725677083e-13,0.0,0.0
27,0.05,0.0125,0.0014240506329113924,3.371583602790885e-12,1.0,0.0
28,0.1,0.03461538461538462,0.0031645569620253164,0.20275077570119043,3.5833333333333335,0.3
29,0.037500000000000006,0.030624999999999996,0.0,0.125306870628742,3.1166666666666667,0.0
30,0.037500000000000006,0.0,0.0,1.3761565725677083e-13,0.0,0.0
31,0.0625,0.0125,0.0015822784810126582,3.371583602790885e-12,1.0,0.0
32,0.0125,0.016666666666666666,0.0,3.233967945534115e-12,1.5,0.0
33,0.08750000000000001,0.0375,0.000949367088607595,0.32805764632656087,3.6666666666666665,1.0
34,0.08750000000000001,0.04711538461538461,0.003322784810126582,0.5308084219871891,4.666666666666666,0.4
35,0.05,0.0380952380952381,0.0,0.3280576459700159,3.6666666666666665,1.0
36,0.0625,0.04602272727272728,0.0014240506329113924,0.5308084195014805,4.666666666666666,0.3333333333333333
37,0.0125,0.0390625,0.0,0.2027507735314646,3.9,0.0
38,0.0,0.0,0.0,9.778180559065023e-28,0.0,0.0
39,0.037500000000000006,0.0,0.0,1.3761565725677083e-13,0.0,0.0
40,0.05,0.0125,0.0004746835443037975,3.371583602790885e-12,1.0,0.0
41,0.05,0.016666666666666666,0.0006329113924050633,4.056221497643319e-11,1.5,0.0
42,0.025,0.01875,0.0004746835443037975,3.7328247030899084e-11,1.8333333333333333,0.0
43,0.0125,0.020000000000000004,0.0,3.423189474262174e-11,2.083333333333333,0.0
44,0.05,0.0,0.0,1.3761565725677083e-13,0.0,1.0
45,0.05,0.0125,0.0,3.371583602790885e-12,1.0,1.0
46,0.0625,0.025,0.004430379746835443,4.379618292196733e-11,2.0,0.3333333333333333
47,0.05,0.0225,0.006170886075949367,3.56682581652393e-10,2.0,0.0
48,0.0625,0.022222222222222223,0.00759493670886076,2.1325352297438137e-09,2.1666666666666665,0.0
49,0.05,0.022321428571428572,0.0007911392405063291,9.98440727850405e-09,2.333333333333333,0.0
50,0.05,0.0225,0.0015822784810126582,3.813539081389043e-08,2.4833333333333334,0.0
51,0.0625,0.03602941176470588,0.009968354430379746,1.3222743553545977e-07,3.833333333333333,0.0
52,0.07500000000000001,0.032,0.010126582278481013,3.7394296686965686e-07,3.3166666666666664,0.16666666666666666
53,0.05,0.029779411764705884,0.0014240506329113924,9.256912613049023e-07,3.2,0.0
54,0.05,0.028409090909090908,0.000949367088607595,2.032075499315291e-06,3.1857142857142855,0.0
55,0.0625,0.040878378378378384,0.0015822784810126582,4.923885306358328e-06,4.7,0.3333333333333333
56,0.0625,0.045,0.00759493670886076,1.0072441291528534e-05,5.033333333333333,0.3333333333333333
57,0.05,0.039858490566037734,0.006170886075949367,1.7570164189492578e-05,4.269047619047619,0.0
58,0.05,0.036567164179104474,0.004430379746835443,2.829210017490288e-05,3.992857142857143,0.0
59,0.05,0.03429878048780488,0.0023734177215189874,4.227432546155606e-05,3.8662698412698417,0.0
60,0.0125,0.03265306122448979,0.0,2.502395018360075e-05,3.806349206349206,0.0
61,0.0,0.0,0.0,9.778180559065023e-28,0.0,0.0
62,0.025,0.0,0.0,1.3761565725677083e-13,0.0,0.0
63,0.037500000000000006,0.0,0.0,1.3761565725677083e-13,0.0,0.0
64,0.0125,0.0125,0.0,1.3761565725677083e-13,1.0,0.0
65,0.1,0.045,0.0031645569620253164,0.3280576463297948,4.333333333333333,0.3
66,0.0125,0.03602941176470588,0.0,0.12530687062860438,3.4166666666666665,0.0
67,0.037500000000000006,0.0,0.0,1.3761565725677083e-13,0.0,0.0
68,0.037500000000000006,0.0125,0.0,3.371583602790885e-12,1.0,0.0
69,0.0,0.0,0.0,9.778180559065023e-28,0.0,0.0
70,0.0,0.0,0.0,9.778180559065023e-28,0.0,0.0
71,0.0,0.0,0.0,9.778180559065023e-28,0.0,0.0
72,0.0,0.0,0.0,9.778180559065023e-28,0.0,0.0
73,0.037500000000000006,0.0,0.0,1.3761565725677083e-13,0.0,0.0
74,0.05,0.0125,0.0004746835443037975,3.371583602790885e-12,1.0,0.0
75,0.05,0.016666666666666666,0.0006329113924050633,4.056221497643319e-11,1.5,0.0
76,0.05,0.01875,0.0004746835443037975,3.194919502787506e-10,1.8333333333333333,0.0
77,0.0125,0.020000000000000004,0.0,2.8216370324785155e-10,2.083333333333333,0.0
78,0.0,0.0,0.0,9.778180559065023e-28,0.0,0.0
79,0.0625,0.0125,0.00015822784810126583,2.5999022765334725e-05,1.0,0.0
80,0.037500000000000006,0.016666666666666666,0.0,2.5999022765334725e-05,1.5,0.0
