Node,Degree Centrality,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality,Harmonic Centrality,Clustering Coefficient
0,0.0,0.0,0.0,3.997392065975372e-59,0.0,0.0
1,0.010169491525423728,0.0,0.0,2.3596437889063927e-38,0.0,0.3333333333333333
2,0.0,0.0,0.0,3.997392065975372e-59,0.0,0.0
3,0.0,0.0,0.0,3.997392065975372e-59,0.0,0.0
4,0.003389830508474576,0.0,0.0,2.3596437889063927e-38,0.0,0.0
5,0.0,0.0,0.0,3.997392065975372e-59,0.0,0.0
6,0.0,0.0,0.0,3.997392065975372e-59,0.0,0.0
7,0.003389830508474576,0.0,0.0,2.3596437889063927e-38,0.0,0.0
8,0.003389830508474576,0.0,0.0,2.3596437889063927e-38,0.0,0.0
9,0.003389830508474576,0.0,0.0,2.3596437889063927e-38,0.0,0.0
10,0.005084745762711864,0.001694915254237288,0.0,8.376735450617696e-37,1.0,0.0
11,0.003389830508474576,0.0,0.0,2.3596437889063927e-38,0.0,0.0
12,0.005084745762711864,0.001694915254237288,0.0,8.37673545061769e-37,1.0,0.0
13,0.005084745762711864,0.0,0.0,2.3596437889063927e-38,0.0,0.0
14,0.003389830508474576,0.0,0.0,2.3596437889063927e-38,0.0,0.0
15,0.0,0.0,0.0,3.997392065975372e-59,0.0,0.0
16,0.001694915254237288,0.001694915254237288,0.0,2.7981744461827596e-57,1.0,0.0
17,0.001694915254237288,0.0,0.0,3.997392065975372e-59,0.0,0.0
18,0.0,0.0,0.0,3.997392065975372e-59,0.0,0.0
19,0.0,0.0,0.0,3.997392065975372e-59,0.0,0.0
20,0.006779661016949152,0.003813559322033898,0.0,8.482749789210209e-30,2.5,1.0
21,0.003389830508474576,0.002259887005649717,0.0,2.002505597516348e-30,1.5,1.0
22,0.0,0.0,0.0,3.997392065975372e-59,0.0,0.0
23,0.003389830508474576,0.001694915254237288,0.0,2.002505597516348e-30,1.0,0.0
24,0.010169491525423728,0.001694915254237288,5.755230065321861e-06,3.2401221194433676e-30,1.0,0.3333333333333333
25,0.005084745762711864,0.0,0.0,2.3596437889063927e-38,0.0,0.0
26,0.0,0.0,0.0,3.997392065975372e-59,0.0,0.0
27,0.005084745762711864,0.001694915254237288,0.0,8.376735450617696e-37,1.0,0.0
28,0.005084745762711864,0.0,0.0,2.3596437889063927e-38,0.0,0.0
29,0.001694915254237288,0.001694915254237288,0.0,2.3596437889063927e-38,1.0,0.0
30,0.001694915254237288,0.0,0.0,3.997392065975372e-59,0.0,0.0
31,0.003389830508474576,0.005296610169491525,0.0,1.8386934314105844e-34,3.5,1.0
32,0.00847457627118644,0.004519774011299434,1.4388075163304653e-06,1.8386934314105844e-34,3.0,0.6666666666666666
33,0.003389830508474576,0.0,0.0,3.997392065975372e-59,0.0,1.0
34,0.013559322033898305,0.005084745762711864,2.158211274495698e-05,1.5514657912059533e-35,3.0,0.2
35,0.001694915254237288,0.0038740920096852296,0.0,1.467698436699776e-35,2.5,0.0
36,0.0,0.0,0.0,3.997392065975372e-59,0.0,0.0
37,0.00847457627118644,0.001694915254237288,0.0,8.376735450617696e-37,1.0,0.6666666666666666
38,0.003389830508474576,0.003389830508474576,0.0,8.376735450617696e-37,2.0,1.0
39,0.003389830508474576,0.0,0.0,2.3596437889063927e-38,0.0,0.0
40,0.001694915254237288,0.0,0.0,3.997392065975372e-59,0.0,0.0
