Node,Degree Centrality,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality,Harmonic Centrality,Clustering Coefficient
0,0.0,0.0,0.0,3.158455276958162e-26,0.0,0.0
1,0.08750000000000001,0.052083333333333336,0.00390295358649789,3.64145101014404e-08,4.5,0.38095238095238093
2,0.0625,0.04000000000000001,0.006012658227848101,3.64145101014404e-08,3.5,0.1
3,0.0,0.0,0.0,3.158455276958162e-26,0.0,0.0
4,0.0125,0.0125,0.0,1.926657718944479e-24,1.0,0.0
5,0.125,0.06805555555555555,0.00469409282700422,2.4397721767965085e-06,6.0,0.32142857142857145
6,0.025,0.03125,0.0,3.64145101014405e-08,2.833333333333333,1.0
7,0.05,0.0,0.0,3.158455276958162e-26,0.0,0.16666666666666666
8,0.2,0.13333333333333333,0.0270042194092827,0.20900604560710925,12.333333333333332,0.0989010989010989
9,0.025,0.047058823529411764,0.0,2.3669431565936274e-06,4.166666666666666,1.0
10,0.0,0.0,0.0,3.158455276958162e-26,0.0,0.0
11,0.0,0.0,0.0,3.158455276958162e-26,0.0,0.0
12,0.0,0.0,0.0,3.158455276958162e-26,0.0,0.0
13,0.0,0.0,0.0,3.158455276958162e-26,0.0,0.0
14,0.07500000000000001,0.1125,0.0,0.44895641072488096,10.333333333333334,0.6666666666666666
15,0.0,0.0,0.0,3.158455276958162e-26,0.0,0.0
16,0.0,0.0,0.0,3.158455276958162e-26,0.0,0.0
17,0.0,0.0,0.0,3.158455276958162e-26,0.0,0.0
18,0.025,0.025,0.0,3.821730885119375e-24,2.0,0.0
19,0.025,0.025,0.0,3.821730885119375e-24,2.0,0.0
20,0.0125,0.0125,0.0,1.926657718944479e-24,1.0,0.0
21,0.025,0.025,0.0,3.821730885119375e-24,2.0,0.0
22,0.0,0.0,0.0,3.158455276958162e-26,0.0,0.0
23,0.0,0.0,0.0,3.158455276958162e-26,0.0,0.0
24,0.0125,0.08810975609756097,0.0,0.14260982975621578,7.749999999999999,0.0
25,0.025,0.08810975609756097,0.012183544303797469,0.14260982975621578,7.749999999999999,0.0
26,0.0,0.0,0.0,3.158455276958162e-26,0.0,0.0
27,0.0625,0.06864406779661017,0.01028481012658228,0.0973058687479393,6.199999999999999,0.3
28,0.037500000000000006,0.08421052631578947,0.004588607594936709,0.14260982975621578,7.416666666666666,0.3333333333333333
29,0.0125,0.0,0.0,3.158455276958162e-26,0.0,0.0
30,0.0125,0.0,0.0,3.158455276958162e-26,0.0,0.0
31,0.0125,0.0,0.0,3.158455276958162e-26,0.0,0.0
32,0.0,0.0,0.0,3.158455276958162e-26,0.0,0.0
33,0.0125,0.08810975609756097,0.0,0.14260982975621578,7.749999999999999,0.0
34,0.0,0.0,0.0,3.158455276958162e-26,0.0,0.0
35,0.0,0.0,0.0,3.158455276958162e-26,0.0,0.0
36,0.0,0.0,0.0,3.158455276958162e-26,0.0,0.0
37,0.0,0.0,0.0,3.158455276958162e-26,0.0,0.0
38,0.025,0.07562500000000001,0.0,0.11169533372932648,7.783333333333333,1.0
39,0.0,0.0,0.0,3.158455276958162e-26,0.0,0.0
40,0.0,0.0,0.0,3.158455276958162e-26,0.0,0.0
41,0.0,0.0,0.0,3.158455276958162e-26,0.0,0.0
42,0.0,0.0,0.0,3.158455276958162e-26,0.0,0.0
43,0.0,0.0,0.0,3.158455276958162e-26,0.0,0.0
44,0.0125,0.0,0.0,3.158455276958162e-26,0.0,0.0
45,0.0,0.0,0.0,3.158455276958162e-26,0.0,0.0
46,0.025,0.0,0.0,3.158455276958162e-26,0.0,0.0
47,0.05,0.0,0.0,3.158455276958162e-26,0.0,0.0
48,0.037500000000000006,0.0,0.0,3.158455276958162e-26,0.0,0.0
49,0.037500000000000006,0.0,0.0,3.6414510101440396e-08,0.0,0.0
50,0.05,0.0125,0.002848101265822785,3.6414510101440396e-08,1.0,0.16666666666666666
51,0.0125,0.0,0.0,3.158455276958162e-26,0.0,0.0
52,0.0,0.0,0.0,3.158455276958162e-26,0.0,0.0
53,0.0,0.0,0.0,3.158455276958162e-26,0.0,0.0
54,0.0,0.0,0.0,3.158455276958162e-26,0.0,0.0
55,0.0,0.0,0.0,3.158455276958162e-26,0.0,0.0
56,0.0625,0.025,0.000949367088607595,3.821730885119375e-24,2.0,0.3
57,0.0125,0.0125,0.0,1.926657718944479e-24,1.0,0.0
58,0.037500000000000006,0.0,0.0,3.6414510101440396e-08,0.0,0.0
59,0.1,0.07350000000000001,0.0029272151898734177,0.06639377607871669,8.450000000000001,0.25
60,0.0,0.0,0.0,3.158455276958162e-26,0.0,0.0
61,0.0,0.0,0.0,3.158455276958162e-26,0.0,0.0
62,0.0,0.0,0.0,3.158455276958162e-26,0.0,0.0
63,0.07500000000000001,0.07756410256410257,0.0015031645569620253,0.3515332144253948,8.45,0.5
64,0.025,0.06747448979591837,0.0,0.2851394747611883,7.45952380952381,1.0
65,0.1125,0.1240079365079365,0.0,0.6578019411714631,13.283333333333333,0.09523809523809523
66,0.025,0.06153846153846154,0.0015822784810126582,0.0973058687479393,5.616666666666666,1.0
67,0.0125,0.0,0.0,3.158455276958162e-26,0.0,0.0
68,0.05,0.0,0.0,3.158455276958162e-26,0.0,0.5
69,0.0,0.0,0.0,3.158455276958162e-26,0.0,0.0
70,0.0,0.0,0.0,3.158455276958162e-26,0.0,0.0
71,0.0,0.0,0.0,3.158455276958162e-26,0.0,0.0
72,0.0125,0.0,0.0,3.158455276958162e-26,0.0,0.0
73,0.0125,0.0,0.0,3.158455276958162e-26,0.0,0.0
74,0.05,0.0,0.0,3.158455276958162e-26,0.0,0.5
75,0.0125,0.0,0.0,3.158455276958162e-26,0.0,0.0
76,0.0125,0.0125,0.0,1.926657718944479e-24,1.0,0.0
77,0.0125,0.0125,0.0,1.926657718944479e-24,1.0,0.0
78,0.0,0.0,0.0,3.158455276958162e-26,0.0,0.0
79,0.025,0.0,0.0,3.158455276958162e-26,0.0,0.0
80,0.037500000000000006,0.0375,0.0,5.716804051294279e-24,3.0,0.0
