Node,Degree Centrality,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality,Harmonic Centrality,Clustering Coefficient
0,0.0,0.0,0.0,4.83407433001026e-67,0.0,0.0
1,0.006153846153846154,0.0015384615384615385,0.0005949982221168661,4.930755816610465e-65,1.0,0.0
2,0.0015384615384615385,0.0,0.0,4.83407433001026e-67,0.0,0.0
3,0.0015384615384615385,0.0015384615384615385,0.0,4.930755816610465e-65,1.0,0.0
4,0.0015384615384615385,0.0,0.0,4.83407433001026e-67,0.0,0.0
5,0.0,0.0,0.0,4.83407433001026e-67,0.0,0.0
6,0.004615384615384615,0.0020512820512820513,0.0,3.6767503355912266e-36,1.5,0.0
7,0.0,0.0,0.0,4.83407433001026e-67,0.0,0.0
8,0.004615384615384615,0.0,0.0,1.2255834451970764e-36,0.0,0.0
9,0.0015384615384615385,0.0015384615384615385,0.0,1.2255834451970764e-36,1.0,0.0
10,0.0,0.0,0.0,4.83407433001026e-67,0.0,0.0
11,0.003076923076923077,0.0,0.0,1.2255834451970764e-36,0.0,0.0
12,0.007692307692307693,0.002307692307692308,7.111532535261349e-06,1.3079709526983451e-18,1.8333333333333333,0.0
13,0.0,0.0,0.0,4.83407433001026e-67,0.0,0.0
14,0.0,0.0,0.0,4.83407433001026e-67,0.0,0.0
15,0.007692307692307693,0.0035164835164835165,7.111532535261349e-06,1.868357147304615e-18,2.833333333333333,0.0
16,0.006153846153846154,0.0020512820512820513,2.3705108450871163e-06,1.3043162935207615e-22,1.5,1.0
17,0.0,0.0,0.0,4.83407433001026e-67,0.0,0.0
18,0.0,0.0,0.0,4.83407433001026e-67,0.0,0.0
19,0.0,0.0,0.0,4.83407433001026e-67,0.0,0.0
20,0.01846153846153846,0.0214354896263445,0.00103485779426922,7.749188102256126e-05,26.272410767766793,0.30303030303030304
21,0.02,0.021449704142011836,0.0005994782241157857,0.00018824041833136578,26.905744101100147,0.41818181818181815
22,0.004615384615384615,0.02003289319110944,0.0,9.98743012407801e-05,23.085980385283776,1.0
23,0.0,0.0,0.0,4.83407433001026e-67,0.0,0.0
24,0.016923076923076923,0.01995444407535709,0.004260345550312698,0.00027777387772074595,25.052647051950462,0.3611111111111111
25,0.012307692307692308,0.02520664577543901,8.55799738696503e-05,0.00044723898525370764,29.97415760194398,0.4
26,0.003076923076923077,0.02471718615956534,0.0,0.00027211714594403805,25.759871887658257,1.0
27,0.0,0.0,0.0,4.83407433001026e-67,0.0,0.0
28,0.0,0.0,0.0,4.83407433001026e-67,0.0,0.0
29,0.0,0.0,0.0,4.83407433001026e-67,0.0,0.0
30,0.0,0.0,0.0,4.83407433001026e-67,0.0,0.0
31,0.0,0.0,0.0,4.83407433001026e-67,0.0,0.0
32,0.003076923076923077,0.0,0.0,1.2255834451970764e-36,0.0,0.0
33,0.006153846153846154,0.0015384615384615385,7.111532535261349e-06,2.45116689039415e-36,1.0,0.0
34,0.007692307692307693,0.003461538461538462,9.482043380348465e-06,1.3079709526983451e-18,2.5,0.0
35,0.0015384615384615385,0.0024615384615384616,0.0,6.539854763491726e-19,2.083333333333333,0.0
36,0.0015384615384615385,0.0,0.0,4.83407433001026e-67,0.0,0.0
37,0.003076923076923077,0.0,0.0,1.2255834451970764e-36,0.0,0.0
38,0.0015384615384615385,0.0,0.0,4.83407433001026e-67,0.0,0.0
39,0.006153846153846154,0.0015384615384615385,0.0005926277112717791,2.45116689039415e-36,1.0,0.0
40,0.003076923076923077,0.0020512820512820513,0.001180514400853384,2.45116689039415e-36,1.5,0.0
41,0.0,0.0,0.0,4.83407433001026e-67,0.0,0.0
42,0.003076923076923077,0.0,0.0,4.83407433001026e-67,0.0,0.0
43,0.0015384615384615385,0.0,0.0,4.83407433001026e-67,0.0,0.0
44,0.0015384615384615385,0.0015384615384615385,0.0,4.930755816610465e-65,1.0,0.0
45,0.006153846153846154,0.0,0.0,1.2255834451970764e-36,0.0,0.0
46,0.0,0.0,0.0,4.83407433001026e-67,0.0,0.0
47,0.0,0.0,0.0,4.83407433001026e-67,0.0,0.0
48,0.003076923076923077,0.0,0.0,4.83407433001026e-67,0.0,0.0
49,0.003076923076923077,0.0,0.0,1.2255834451970764e-36,0.0,0.0
50,0.0,0.0,0.0,4.83407433001026e-67,0.0,0.0
51,0.0015384615384615385,0.0015384615384615385,0.0,1.2255834451970764e-36,1.0,0.0
52,0.0015384615384615385,0.0015384615384615385,0.0,1.2255834451970764e-36,1.0,0.0
53,0.0,0.0,0.0,4.83407433001026e-67,0.0,0.0
54,0.0015384615384615385,0.0,0.0,4.83407433001026e-67,0.0,0.0
55,0.0015384615384615385,0.0015384615384615385,0.0,4.930755816610465e-65,1.0,0.0
56,0.0015384615384615385,0.0015384615384615385,0.0,4.930755816610465e-65,1.0,0.0
57,0.0,0.0,0.0,4.83407433001026e-67,0.0,0.0
58,0.0015384615384615385,0.0015384615384615385,0.0,4.930755816610465e-65,1.0,0.0
59,0.006153846153846154,0.02376646131238343,0.006096750706920199,0.0001877854459214465,24.021776649563037,0.3333333333333333
60,0.015384615384615385,0.024302144136854883,0.010406960388324945,0.0001420236352530117,26.536062363848732,0.08888888888888889
61,0.003076923076923077,0.00787878787878788,0.0,1.6091910635437595e-33,6.166666666666667,0.0
62,0.013846153846153847,0.010644490644490644,0.0005500746258646213,6.189196398245228e-33,8.666666666666668,0.2222222222222222
63,0.012307692307692308,0.010644490644490644,0.00047592809889139423,6.189196398245228e-33,8.666666666666668,0.21428571428571427
64,0.012307692307692308,0.009377289377289377,0.004533726254354822,6.127304434262776e-33,7.783333333333333,0.17857142857142858
65,0.003076923076923077,0.007731755424063116,0.0,3.0945981991226134e-33,6.283333333333333,0.0
66,0.00923076923076923,0.02223103357123976,0.0002741061043391032,4.576181066843479e-05,23.563240577791642,0.13333333333333333
67,0.016923076923076923,0.022940534642662304,0.006343488008769632,4.576181066843516e-05,26.995780260331337,0.16363636363636364
68,0.02,0.023071436409524856,0.007222546598772312,4.576181066843516e-05,28.595780260331335,0.23076923076923078
69,0.00923076923076923,0.022507787339633597,0.000692189166765438,6.751630932845233e-05,23.946573911124986,0.0
70,0.006153846153846154,0.020726069441780164,0.0003484650942278061,3.209617721319055e-05,19.814871085227107,0.0
71,0.0015384615384615385,0.019234281700035123,0.0,1.0341678553173e-05,17.44279856710197,0.0
72,0.004615384615384615,0.0015384615384615385,0.0,2.45116689039415e-36,1.0,0.0
73,0.0015384615384615385,0.0,0.0,4.83407433001026e-67,0.0,0.0
74,0.0,0.0,0.0,4.83407433001026e-67,0.0,0.0
75,0.01846153846153846,0.0231872070581748,0.004564989526026019,0.00010474175764859666,29.44578026033134,0.3181818181818182
76,0.015384615384615385,0.021350596598121354,0.0005291717740857215,4.423496023512151e-05,26.16526791062393,0.26666666666666666
77,0.013846153846153847,0.021478189804883033,0.0004921628321754729,7.798390171584171e-05,26.85574410110013,0.3333333333333333
78,0.02,0.028274610005379237,0.023965448904215977,0.00023058251856492294,31.48315891624715,0.2
79,0.006153846153846154,0.027388783951019346,0.03445000197542571,0.00010384007424612462,26.2855398686281,0.3333333333333333
80,0.004615384615384615,0.019723264540337713,0.0,8.562133518902019e-05,21.69550419480759,1.0
81,0.006153846153846154,0.019819947209653094,0.0,0.00011074853730880451,22.75264705195044,0.8333333333333334
82,0.003076923076923077,0.0200752508361204,0.0,2.49686489739428e-05,21.69550419480759,0.0
83,0.0015384615384615385,0.0015384615384615385,0.0,4.930755816610465e-65,1.0,0.0
84,0.0,0.0,0.0,4.83407433001026e-67,0.0,0.0
85,0.006153846153846154,0.0015384615384615385,0.0006021097546521277,2.45116689039415e-36,1.0,0.0
86,0.003076923076923077,0.0020512820512820513,0.001199478487614081,2.45116689039415e-36,1.5,0.0
87,0.00923076923076923,0.0,0.0,1.2255834451970764e-36,0.0,0.16666666666666666
88,0.0015384615384615385,0.0015384615384615385,0.0,1.2255834451970764e-36,1.0,0.0
89,0.003076923076923077,0.021989227631647755,0.0,4.576181066843479e-05,21.322764387315452,1.0
90,0.004615384615384615,0.026297686053783617,0.00018751950423988024,0.00012005956074406945,27.50862789171612,0.3333333333333333
91,0.004615384615384615,0.025329799409674118,1.552926307992157e-05,0.00019216069360949656,25.32211995520818,0.6666666666666666
92,0.003076923076923077,0.02512938402593575,0.0,0.0001178629435338619,23.950691383779617,0.0
93,0.006153846153846154,0.005418060200668897,0.0015397515029388637,6.18919639824523e-35,4.5,0.0
94,0.00923076923076923,0.0037692307692307686,0.00028209079056536684,1.6091910635437598e-33,3.0,0.16666666666666666
95,0.0015384615384615385,0.0035164835164835165,0.0,1.5472990995613074e-33,2.9833333333333334,0.0
