Node,Degree Centrality,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality,Harmonic Centrality,Clustering Coefficient
0,0.0,0.0,0.0,8.268689880936724e-19,0.0,0.0
1,0.0,0.0,0.0,8.268689880936724e-19,0.0,0.0
2,0.0,0.0,0.0,8.268689880936724e-19,0.0,0.0
3,0.0,0.0,0.0,8.268689880936724e-19,0.0,0.0
4,0.001694915254237288,0.001694915254237288,0.0,1.9017986726154465e-17,1.0,0.0
5,0.0,0.0,0.0,8.268689880936724e-19,0.0,0.0
6,0.0,0.0,0.0,8.268689880936724e-19,0.0,0.0
7,0.001694915254237288,0.001694915254237288,0.0,1.9017986726154465e-17,1.0,0.0
8,0.0,0.0,0.0,8.268689880936724e-19,0.0,0.0
9,0.001694915254237288,0.001694915254237288,0.0,1.9017986726154465e-17,1.0,0.0
10,0.0,0.0,0.0,8.268689880936724e-19,0.0,0.0
11,0.005084745762711864,0.0,0.0,8.268689880936724e-19,0.0,0.0
12,0.001694915254237288,0.001694915254237288,0.0,1.9017986726154465e-17,1.0,0.0
13,0.006779661016949152,0.003389830508474576,1.1510460130643722e-05,3.7209104464215256e-17,2.0,0.0
14,0.003389830508474576,0.0,0.0,8.268689880936724e-19,0.0,0.0
15,0.001694915254237288,0.001694915254237288,0.0,1.9017986726154465e-17,1.0,0.0
16,0.001694915254237288,0.001694915254237288,0.0,1.9017986726154465e-17,1.0,0.0
17,0.001694915254237288,0.001694915254237288,0.0,1.9017986726154465e-17,1.0,0.0
18,0.003389830508474576,0.0,0.0,8.268689880936724e-19,0.0,0.0
19,0.006779661016949152,0.0,0.0,8.268689880936724e-19,0.0,0.0
20,0.0,0.0,0.0,8.268689880936724e-19,0.0,0.0
21,0.0,0.0,0.0,8.268689880936724e-19,0.0,0.0
22,0.0,0.0,0.0,8.268689880936724e-19,0.0,0.0
23,0.0,0.0,0.0,8.268689880936724e-19,0.0,0.0
24,0.0,0.0,0.0,8.268689880936724e-19,0.0,0.0
25,0.003389830508474576,0.003389830508474576,0.0,3.7209104464215256e-17,2.0,0.0
26,0.001694915254237288,0.001694915254237288,0.0,1.9017986726154465e-17,1.0,0.0
27,0.001694915254237288,0.001694915254237288,0.0,1.9017986726154465e-17,1.0,0.0
28,0.001694915254237288,0.001694915254237288,0.0,1.9017986726154465e-17,1.0,0.0
29,0.0,0.0,0.0,8.268689880936724e-19,0.0,0.0
30,0.001694915254237288,0.001694915254237288,0.0,1.9017986726154465e-17,1.0,0.0
31,0.001694915254237288,0.001694915254237288,0.0,1.9017986726154465e-17,1.0,0.0
32,0.0,0.0,0.0,8.268689880936724e-19,0.0,0.0
33,0.0,0.0,0.0,8.268689880936724e-19,0.0,0.0
34,0.0,0.0,0.0,8.268689880936724e-19,0.0,0.0
35,0.0,0.0,0.0,8.268689880936724e-19,0.0,0.0
36,0.001694915254237288,0.0,0.0,8.268689880936724e-19,0.0,0.0
37,0.0,0.0,0.0,8.268689880936724e-19,0.0,0.0
38,0.0,0.0,0.0,8.268689880936724e-19,0.0,0.0
39,0.001694915254237288,0.001694915254237288,0.0,1.9017986726154465e-17,1.0,0.0
40,0.0,0.0,0.0,8.268689880936724e-19,0.0,0.0
41,0.0,0.0,0.0,8.268689880936724e-19,0.0,0.0
42,0.0,0.0,0.0,8.268689880936724e-19,0.0,0.0
43,0.0,0.0,0.0,8.268689880936724e-19,0.0,0.0
44,0.0,0.0,0.0,8.268689880936724e-19,0.0,0.0
45,0.0,0.0,0.0,8.268689880936724e-19,0.0,0.0
46,0.0,0.0,0.0,8.268689880936724e-19,0.0,0.0
47,0.003389830508474576,0.0,0.0,8.268689880936724e-19,0.0,0.0
48,0.001694915254237288,0.0,0.0,8.268689880936724e-19,0.0,0.0
49,0.006779661016949152,0.006779661016949152,0.0,8.859901207423699e-15,5.416666666666667,0.0
50,0.006779661016949152,0.02781796000174284,0.0001496359816983684,0.0034508306153354256,20.497041847041828,0.0
51,0.001694915254237288,0.018227617371932,0.0,8.074938294427158e-06,13.053721115485812,0.0
52,0.005084745762711864,0.019521361010601153,0.0,8.074938296309938e-06,16.619197305962008,0.0
53,0.005084745762711864,0.005546995377503851,0.00044603033006244426,1.8836075548773857e-15,3.8333333333333335,0.0
54,0.003389830508474576,0.03365653789382603,0.0,0.03600581694364275,26.224711399711392,1.0
55,0.010169491525423728,0.03424441390543086,9.174110782697584e-06,0.061346945127034064,27.724711399711385,0.3333333333333333
56,0.010169491525423728,0.03370714922900472,6.296495750036654e-06,0.05806240039530166,26.72471139971139,0.6
57,0.011864406779661017,0.03242709758921992,0.002792741375107047,0.016268853564351225,25.75804473304472,0.23809523809523808
58,0.010169491525423728,0.002259887005649717,3.8974555031646914e-05,2.100247229757928e-16,1.5,0.13333333333333333
59,0.0288135593220339,0.002259887005649717,0.000728752581289199,2.100247229757928e-16,1.5,0.2647058823529412
60,0.001694915254237288,0.002259887005649717,0.0,2.100247229757928e-16,1.5,0.0
61,0.0,0.0,0.0,8.268689880936724e-19,0.0,0.0
62,0.0,0.0,0.0,8.268689880936724e-19,0.0,0.0
63,0.001694915254237288,0.0,0.0,8.268689880936724e-19,0.0,0.0
64,0.0,0.0,0.0,8.268689880936724e-19,0.0,0.0
65,0.0,0.0,0.0,8.268689880936724e-19,0.0,0.0
66,0.0,0.0,0.0,8.268689880936724e-19,0.0,0.0
67,0.0,0.0,0.0,8.268689880936724e-19,0.0,0.0
68,0.001694915254237288,0.001694915254237288,0.0,1.9017986726154465e-17,1.0,0.0
69,0.0,0.0,0.0,8.268689880936724e-19,0.0,0.0
70,0.0,0.0,0.0,8.268689880936724e-19,0.0,0.0
71,0.001694915254237288,0.028608748354197577,0.0,0.0008692681755062912,20.116089466089452,0.0
72,0.001694915254237288,0.028608748354197577,0.0,0.0008692681755062912,20.116089466089452,0.0
73,0.0,0.0,0.0,8.268689880936724e-19,0.0,0.0
74,0.00847457627118644,0.03536843737081439,0.0,0.0391708590310461,29.456854256854236,0.1
75,0.001694915254237288,0.03345560333923602,0.0,0.019736963379294682,25.224711399711396,0.0
76,0.001694915254237288,0.003389830508474576,0.0,1.674409700889687e-15,2.3333333333333335,0.0
77,0.015254237288135592,0.035876972967495126,2.0684570913341305e-05,0.07307269545612322,30.724711399711378,0.2777777777777778
78,0.011864406779661017,0.033425066227720485,8.488964346349746e-05,0.07140143712122698,27.89137806637805,0.5238095238095238
79,0.00847457627118644,0.02936949152542373,0.008968516367318977,0.024279367226759014,23.214105339105345,0.0
80,0.003389830508474576,0.0,0.0,8.268689880936724e-19,0.0,0.0
81,0.003389830508474576,0.0,0.0,8.268689880936724e-19,0.0,0.0
82,0.003389830508474576,0.0,0.0,8.268689880936724e-19,0.0,0.0
83,0.005084745762711864,0.001694915254237288,2.3020920261287445e-05,1.9017986726154465e-17,1.0,0.0
84,0.003389830508474576,0.028664007976071788,0.0,0.009645793821981588,20.254076479076474,0.0
85,0.003389830508474576,0.028664007976071788,0.0,0.009645793821981588,20.254076479076474,0.0
86,0.001694915254237288,0.001694915254237288,0.0,1.9017986726154465e-17,1.0,0.0
87,0.0,0.0,0.0,8.268689880936724e-19,0.0,0.0
88,0.005084745762711864,0.002259887005649717,3.453138039193117e-05,2.100247229757928e-16,1.5,0.0
89,0.001694915254237288,0.002259887005649717,0.0,2.100247229757928e-16,1.5,0.0
90,0.0,0.0,0.0,8.268689880936724e-19,0.0,0.0
91,0.0,0.0,0.0,8.268689880936724e-19,0.0,0.0
92,0.0,0.0,0.0,8.268689880936724e-19,0.0,0.0
93,0.0,0.0,0.0,8.268689880936724e-19,0.0,0.0
94,0.003389830508474576,0.0,0.0,8.268689880936724e-19,0.0,0.0
95,0.003389830508474576,0.003389830508474576,1.1510460130643722e-05,1.674409700889687e-15,2.3333333333333335,0.0
96,0.020338983050847456,0.03140308398113929,0.002993822719729887,0.017091772484903123,23.642568542568537,0.0
97,0.005084745762711864,0.031312248820548665,0.0,0.016268853564348068,22.910425685425682,0.6666666666666666
98,0.001694915254237288,0.030853317706455108,0.0,0.012365593493433098,21.74852092352092,0.0
99,0.001694915254237288,0.030853317706455108,0.0,0.012365593493433098,21.74852092352092,0.0
100,0.013559322033898305,0.035916188442546376,0.000667606687577336,0.06120427899737236,27.257142857142846,0.2
101,0.005084745762711864,0.04186411605663285,0.0,0.006374651577549394,29.315476190476193,0.0
102,0.0,0.0,0.0,8.268689880936724e-19,0.0,0.0
103,0.0,0.0,0.0,8.268689880936724e-19,0.0,0.0
104,0.001694915254237288,0.0,0.0,8.268689880936724e-19,0.0,0.0
105,0.001694915254237288,0.001694915254237288,0.0,1.9017986726154465e-17,1.0,0.0
106,0.001694915254237288,0.001694915254237288,0.0,1.9017986726154465e-17,1.0,0.0
107,0.006779661016949152,0.0,0.0,8.268689880936724e-19,0.0,0.0
108,0.0,0.0,0.0,8.268689880936724e-19,0.0,0.0
109,0.00847457627118644,0.001694915254237288,9.687970609958465e-05,1.9017986726154465e-17,1.0,0.0
110,0.013559322033898305,0.03371086118591267,0.0037178062457849433,0.04400089949213335,28.791378066378044,0.2857142857142857
111,0.0288135593220339,0.03968850206138342,0.0016922081102532572,0.09769135852335452,34.52142857142859,0.11764705882352941
112,0.00847457627118644,0.0351337222099934,0.0011625564731950159,0.01785321486390445,26.40714285714286,0.0
113,0.010169491525423728,0.030620309160495053,0.0006162443348884652,0.01893541304932427,23.130663780663777,0.5333333333333333
114,0.005084745762711864,0.03043934301175237,7.385878583829722e-05,0.018935413049323887,22.62074314574314,0.0
115,0.006779661016949152,0.03220591202582728,0.00011270658877921977,0.011085271041984637,22.191269841269843,0.5
116,0.003389830508474576,0.02687865606719664,8.841129614632544e-05,6.235415535170506e-05,17.759595959595934,0.0
117,0.00847457627118644,0.038034019587034965,0.0007755367516237691,0.054871374459582616,27.702380952380935,0.6
118,0.001694915254237288,0.0,0.0,8.268689880936724e-19,0.0,0.0
119,0.0,0.0,0.0,8.268689880936724e-19,0.0,0.0
120,0.02711864406779661,0.030755597713486932,0.0012688046225210606,0.00030857421520795887,20.38452380952379,0.3516483516483517
121,0.001694915254237288,0.031083358112796115,0.0,0.0002462200598562546,20.584523809523795,0.0
122,0.001694915254237288,0.0,0.0,8.268689880936724e-19,0.0,0.0
123,0.001694915254237288,0.034570759266914705,0.0,0.014715048598352777,23.62936507936507,0.0
124,0.005084745762711864,0.034570759266914705,0.01000240853012602,0.014715048598352777,23.62936507936507,0.0
125,0.001694915254237288,0.0,0.0,8.268689880936724e-19,0.0,0.0
126,0.0,0.0,0.0,8.268689880936724e-19,0.0,0.0
127,0.0,0.0,0.0,8.268689880936724e-19,0.0,0.0
128,0.0,0.0,0.0,8.268689880936724e-19,0.0,0.0
129,0.003389830508474576,0.0,0.0,8.268689880936724e-19,0.0,0.0
130,0.02711864406779661,0.033901056570548094,0.00094561723561822,0.10919381758944646,29.480663780663768,0.2878787878787879
131,0.015254237288135592,0.031931270408956616,0.0013492515466975049,0.024598468666556655,24.292568542568546,0.3611111111111111
132,0.010169491525423728,0.003389830508474576,0.0008863054300595666,3.7209104464215256e-17,2.0,0.2
133,0.010169491525423728,0.003813559322033898,0.00031653765359270235,2.2821584071385354e-16,2.5,0.0
134,0.001694915254237288,0.036911487758945385,0.0,0.0012186435875653006,24.912698412698383,0.0
135,0.006779661016949152,0.03864699006428989,0.00015011558420381188,0.0015286571293306327,27.412698412698386,0.16666666666666666
136,0.001694915254237288,0.014065848431716346,0.0,3.200593122280138e-10,9.7547619047619,0.0
137,0.006779661016949152,0.038847927620949976,0.0,0.0016143687710663298,28.16269841269839,0.16666666666666666
138,0.013559322033898305,0.03650883015289795,0.021947648126894766,0.0012186435875653006,24.662698412698383,0.35714285714285715
139,0.001694915254237288,0.0,0.0,8.268689880936724e-19,0.0,0.0
140,0.001694915254237288,0.014969928922908693,0.0,1.8836069264569558e-10,10.399999999999991,0.0
141,0.020338983050847456,0.03563660554173656,0.009900510650140384,0.020160207797690947,26.262698412698402,0.015151515151515152
142,0.001694915254237288,0.034570759266914705,0.0,0.014715048598352777,23.62936507936507,0.0
143,0.0,0.0,0.0,8.268689880936724e-19,0.0,0.0
144,0.0,0.0,0.0,8.268689880936724e-19,0.0,0.0
145,0.0,0.0,0.0,8.268689880936724e-19,0.0,0.0
146,0.006779661016949152,0.0,0.0,8.268689880936724e-19,0.0,0.0
147,0.001694915254237288,0.027362956176515497,0.0,0.0034508306153354074,19.497041847041828,0.0
148,0.005084745762711864,0.03445869845891822,4.130141773662816e-05,0.007523797553000328,24.930952380952373,0.0
149,0.005084745762711864,0.031174511655648888,0.0,0.004072966937666422,23.16507936507936,0.0
150,0.001694915254237288,0.002542372881355932,0.0,1.4834029646400482e-15,1.8333333333333333,0.0
151,0.03898305084745762,0.03683077750874361,0.008240295175673913,0.08055112355154802,30.054761904761897,0.18128654970760233
152,0.005084745762711864,0.03022149181976502,0.0009180235177328774,0.004072966937664922,20.98888888888889,0.0
153,0.01694915254237288,0.045006575102279366,0.022806245871790923,0.006031594889097514,32.59047619047617,0.2
154,0.010169491525423728,0.033520145822564414,3.6449790413705126e-05,0.001562902779357586,22.87460317460315,0.6666666666666666
155,0.003389830508474576,0.038034019587034965,0.0,0.006171686276565991,26.34047619047616,1.0
156,0.010169491525423728,0.0402370921916332,0.003957152312163678,0.006171686731992372,29.13531746031744,0.4666666666666667
157,0.013559322033898305,0.03606744533239659,0.0005561402926003696,0.001958628139793284,27.361507936507913,0.4666666666666667
158,0.00847457627118644,0.040078468298807284,7.654478088376026e-05,0.0015344338655377894,29.407936507936483,0.3
159,0.001694915254237288,0.016271186440677966,0.0,3.086333074566782e-10,11.249999999999993,0.0
160,0.003389830508474576,0.0,0.0,8.268689880936724e-19,0.0,0.0
161,0.003389830508474576,0.030459909669272988,3.842380270396724e-05,0.004072966937664922,21.131746031746033,0.0
162,0.003389830508474576,0.03445869845891822,0.0,0.007523797553000328,24.930952380952373,0.0
163,0.006779661016949152,0.027993365747262234,0.0009235225844819823,0.0034508306153383547,21.30061327561326,0.3333333333333333
164,0.001694915254237288,0.003852080123266564,0.0,2.9477879425539412e-15,2.666666666666667,0.0
165,0.001694915254237288,0.027362956176515497,0.0,0.0034508306153354074,19.497041847041828,0.0
166,0.003389830508474576,0.027792179018500056,0.0,0.0034508306153368897,20.82085137085135,0.0
