Node,Degree Centrality,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality,Harmonic Centrality,Clustering Coefficient
0,0.0,0.0,0.0,1.3679270207807702e-196,0.0,0.0
1,0.00923076923076923,0.004615384615384616,2.3705108450871163e-06,1.1018138318736186e-42,3.0,0.6666666666666666
2,0.0,0.0,0.0,1.3679270207807702e-196,0.0,0.0
3,0.0,0.0,0.0,1.3679270207807702e-196,0.0,0.0
4,0.004615384615384615,0.0,0.0,1.3679270207807702e-196,0.0,0.6666666666666666
5,0.003076923076923077,0.0,0.0,1.1687497529894554e-99,0.0,0.0
6,0.007692307692307693,0.003461538461538462,0.0,1.1018138318736186e-42,2.5,1.0
7,0.0,0.0,0.0,1.3679270207807702e-196,0.0,0.0
8,0.0,0.0,0.0,1.3679270207807702e-196,0.0,0.0
9,0.0,0.0,0.0,1.3679270207807702e-196,0.0,0.0
10,0.0,0.0,0.0,1.3679270207807702e-196,0.0,0.0
11,0.0,0.0,0.0,1.3679270207807702e-196,0.0,0.0
12,0.004615384615384615,0.0020512820512820513,0.0,1.8933745998429195e-97,1.5,0.0
13,0.0,0.0,0.0,1.3679270207807702e-196,0.0,0.0
14,0.0,0.0,0.0,1.3679270207807702e-196,0.0,0.0
15,0.003076923076923077,0.0028994082840236683,0.0,1.0228005223071106e-90,2.65,1.0
16,0.003076923076923077,0.0036467236467236466,0.0,2.0142482224702016e-90,3.6500000000000004,1.0
17,0.0015384615384615385,0.0028994082840236683,0.0,1.0228005223071106e-90,2.65,0.0
18,0.0,0.0,0.0,1.3679270207807702e-196,0.0,0.0
19,0.0,0.0,0.0,1.3679270207807702e-196,0.0,0.0
20,0.0,0.0,0.0,1.3679270207807702e-196,0.0,0.0
21,0.0,0.0,0.0,1.3679270207807702e-196,0.0,0.0
22,0.0,0.0,0.0,1.3679270207807702e-196,0.0,0.0
23,0.003076923076923077,0.0,0.0,1.3679270207807702e-196,0.0,0.0
24,0.003076923076923077,0.0,0.0,1.3679270207807702e-196,0.0,0.0
25,0.0015384615384615385,0.0015384615384615385,0.0,4.418404277121892e-194,1.0,0.0
26,0.0015384615384615385,0.0015384615384615385,0.0,4.418404277121892e-194,1.0,0.0
27,0.0,0.0,0.0,1.3679270207807702e-196,0.0,0.0
28,0.0,0.0,0.0,1.3679270207807702e-196,0.0,0.0
29,0.003076923076923077,0.0,0.0,1.1687497529894554e-99,0.0,0.0
30,0.003076923076923077,0.0,0.0,1.1687497529894554e-99,0.0,0.0
31,0.0,0.0,0.0,1.3679270207807702e-196,0.0,0.0
32,0.003076923076923077,0.0,0.0,1.1687497529894554e-99,0.0,0.0
33,0.004615384615384615,0.0,0.0,1.1687497529894554e-99,0.0,0.0
34,0.003076923076923077,0.0015384615384615385,2.3705108450871163e-06,1.1687497529894554e-99,1.0,0.0
35,0.0,0.0,0.0,1.3679270207807702e-196,0.0,0.0
36,0.003076923076923077,0.0,0.0,1.1687497529894554e-99,0.0,0.0
37,0.0,0.0,0.0,1.3679270207807702e-196,0.0,0.0
38,0.0,0.0,0.0,1.3679270207807702e-196,0.0,0.0
39,0.003076923076923077,0.0,0.0,1.1687497529894554e-99,0.0,0.0
40,0.004615384615384615,0.0,0.0,1.1687497529894554e-99,0.0,0.0
41,0.0015384615384615385,0.0015384615384615385,0.0,1.1687497529894554e-99,1.0,0.0
42,0.003076923076923077,0.0,0.0,1.3679270207807702e-196,0.0,0.0
43,0.0,0.0,0.0,1.3679270207807702e-196,0.0,0.0
44,0.003076923076923077,0.0,0.0,1.3679270207807702e-196,0.0,0.0
45,0.0,0.0,0.0,1.3679270207807702e-196,0.0,0.0
46,0.0,0.0,0.0,1.3679270207807702e-196,0.0,0.0
47,0.003076923076923077,0.0,0.0,1.3679270207807702e-196,0.0,0.0
48,0.003076923076923077,0.0,0.0,1.1687497529894554e-99,0.0,0.0
49,0.003076923076923077,0.0,0.0,1.3679270207807702e-196,0.0,0.0
50,0.003076923076923077,0.003076923076923077,0.0,8.823129284035975e-194,2.0,0.0
51,0.003076923076923077,0.003076923076923077,0.0,8.823129284035975e-194,2.0,0.0
52,0.0015384615384615385,0.0015384615384615385,0.0,4.418404277121892e-194,1.0,0.0
53,0.0015384615384615385,0.0015384615384615385,0.0,4.418404277121892e-194,1.0,0.0
54,0.0,0.0,0.0,1.3679270207807702e-196,0.0,0.0
55,0.003076923076923077,0.0,0.0,1.1687497529894554e-99,0.0,0.0
56,0.0,0.0,0.0,1.3679270207807702e-196,0.0,0.0
57,0.003076923076923077,0.0,0.0,1.1687497529894554e-99,0.0,0.0
58,0.0,0.0,0.0,1.3679270207807702e-196,0.0,0.0
59,0.0015384615384615385,0.0015384615384615385,0.0,4.418404277121892e-194,1.0,0.0
60,0.006153846153846154,0.0034082840236686397,5.689226028209079e-05,5.597595051057869e-88,4.040079365079365,0.0
61,0.0,0.0,0.0,1.3679270207807702e-196,0.0,0.0
62,0.0015384615384615385,0.003333333333333333,0.0,5.356029944436836e-88,3.619877344877345,0.0
63,0.0015384615384615385,0.003333333333333333,0.0,5.356029944436836e-88,3.619877344877345,0.0
64,0.0,0.0,0.0,1.3679270207807702e-196,0.0,0.0
65,0.003076923076923077,0.0,0.0,1.1687497529894554e-99,0.0,0.0
66,0.0,0.0,0.0,1.3679270207807702e-196,0.0,0.0
67,0.0,0.0,0.0,1.3679270207807702e-196,0.0,0.0
68,0.0,0.0,0.0,1.3679270207807702e-196,0.0,0.0
69,0.004615384615384615,0.0,0.0,1.1687497529894554e-99,0.0,0.0
