,Group number,L2 Group,L1 Group,Country,Longitude,Latitude,Reef area,Cell number
0,94,Addu Atoll,Maldives,Maldives,73.12000274658203,-0.708868504,80896,24064
1,94,Addu Atoll,Maldives,Maldives,73.13999938964844,-0.708868504,434201,24065
2,94,Addu Atoll,Maldives,Maldives,73.16000366210938,-0.708868504,772471,24066
3,94,Addu Atoll,Maldives,Maldives,73.18000030517578,-0.708868504,410306,24067
4,94,Addu Atoll,Maldives,Maldives,73.09999847,-0.688870072,131225,24068
5,94,Addu Atoll,Maldives,Maldives,73.12000274658203,-0.688870072,494848,24069
6,94,Addu Atoll,Maldives,Maldives,73.18000030517578,-0.688870072,1631599,24070
7,94,Addu Atoll,Maldives,Maldives,73.19999694824219,-0.688870072,668240,24071
8,94,Addu Atoll,Maldives,Maldives,73.09999847,-0.668871522,519853,24072
9,94,Addu Atoll,Maldives,Maldives,73.13999938964844,-0.668871522,700785,24073
10,94,Addu Atoll,Maldives,Maldives,73.16000366210938,-0.668871522,103045,24074
11,94,Addu Atoll,Maldives,Maldives,73.18000030517578,-0.668871522,459373,24075
12,94,Addu Atoll,Maldives,Maldives,73.19999694824219,-0.668871522,1657826,24076
13,94,Addu Atoll,Maldives,Maldives,73.22000122070312,-0.668871522,1096110,24077
14,94,Addu Atoll,Maldives,Maldives,73.23999786376953,-0.668871522,340315,24078
15,94,Addu Atoll,Maldives,Maldives,73.08000183105469,-0.648872852,361830,24079
16,94,Addu Atoll,Maldives,Maldives,73.09999847,-0.648872852,1974472,24080
17,94,Addu Atoll,Maldives,Maldives,73.13999938964844,-0.648872852,360888,24081
18,94,Addu Atoll,Maldives,Maldives,73.18000030517578,-0.648872852,349214,24082
19,94,Addu Atoll,Maldives,Maldives,73.19999694824219,-0.648872852,807332,24083
20,94,Addu Atoll,Maldives,Maldives,73.23999786376953,-0.648872852,653291,24084
21,94,Addu Atoll,Maldives,Maldives,73.08000183105469,-0.628874123,795999,24085
22,94,Addu Atoll,Maldives,Maldives,73.12000274658203,-0.628874123,2790795,24086
23,94,Addu Atoll,Maldives,Maldives,73.13999938964844,-0.628874123,1192487,24087
24,94,Addu Atoll,Maldives,Maldives,73.18000030517578,-0.628874123,80714,24088
25,94,Addu Atoll,Maldives,Maldives,73.19999694824219,-0.628874123,988384,24089
26,94,Addu Atoll,Maldives,Maldives,73.23999786376953,-0.628874123,994129,24090
27,94,Addu Atoll,Maldives,Maldives,73.05999755859375,-0.608875334,130992,24091
28,94,Addu Atoll,Maldives,Maldives,73.08000183105469,-0.608875334,1249300,24092
29,94,Addu Atoll,Maldives,Maldives,73.12000274658203,-0.608875334,2257792,24093
30,94,Addu Atoll,Maldives,Maldives,73.13999938964844,-0.608875334,1123067,24094
31,94,Addu Atoll,Maldives,Maldives,73.16000366210938,-0.608875334,1630153,24095
32,94,Addu Atoll,Maldives,Maldives,73.18000030517578,-0.608875334,345110,24096
33,94,Addu Atoll,Maldives,Maldives,73.19999694824219,-0.608875334,660107,24097
34,94,Addu Atoll,Maldives,Maldives,73.23999786376953,-0.608875334,794904,24098
35,94,Addu Atoll,Maldives,Maldives,73.26000213623047,-0.608875334,64571,24099
36,94,Addu Atoll,Maldives,Maldives,73.05999755859375,-0.588876486,246454,24100
37,94,Addu Atoll,Maldives,Maldives,73.09999847,-0.588876486,699593,24101
38,94,Addu Atoll,Maldives,Maldives,73.12000274658203,-0.588876486,272376,24102
39,94,Addu Atoll,Maldives,Maldives,73.16000366210938,-0.588876486,69952,24103
40,94,Addu Atoll,Maldives,Maldives,73.18000030517578,-0.588876486,891778,24104
41,94,Addu Atoll,Maldives,Maldives,73.19999694824219,-0.588876486,3348697,24105
42,94,Addu Atoll,Maldives,Maldives,73.22000122070312,-0.588876486,2271412,24106
43,94,Addu Atoll,Maldives,Maldives,73.26000213623047,-0.588876486,64571,24107
44,94,Addu Atoll,Maldives,Maldives,73.05999755859375,-0.568877518,130992,24108
45,94,Addu Atoll,Maldives,Maldives,73.08000183105469,-0.568877518,340119,24109
46,94,Addu Atoll,Maldives,Maldives,73.09999847,-0.568877518,172762,24110
47,94,Addu Atoll,Maldives,Maldives,73.19999694824219,-0.568877518,197727,24111
48,94,Addu Atoll,Maldives,Maldives,73.22000122070312,-0.568877518,305984,24112
49,94,Addu Atoll,Maldives,Maldives,73.23999786376953,-0.568877518,185961,24113
50,94,Addu Atoll,Maldives,Maldives,73.26000213623047,-0.568877518,64571,24114
51,95,Fuvahmulah Atoll,Maldives,Maldives,73.41999816894531,-0.328885406,33106,24320
52,95,Fuvahmulah Atoll,Maldives,Maldives,73.44000244140625,-0.328885406,1467630,24321
53,95,Fuvahmulah Atoll,Maldives,Maldives,73.37999725341797,-0.308885753,35021,24322
54,95,Fuvahmulah Atoll,Maldives,Maldives,73.40000153,-0.308885753,35021,24323
55,95,Fuvahmulah Atoll,Maldives,Maldives,73.41999816894531,-0.308885753,582783,24324
56,95,Fuvahmulah Atoll,Maldives,Maldives,73.44000244140625,-0.308885753,1004504,24325
57,95,Fuvahmulah Atoll,Maldives,Maldives,73.37999725341797,-0.28888604,35021,24326
58,95,Fuvahmulah Atoll,Maldives,Maldives,73.41999816894531,-0.28888604,613062,24327
59,95,Fuvahmulah Atoll,Maldives,Maldives,73.44000244140625,-0.28888604,105247,24328
60,95,Fuvahmulah Atoll,Maldives,Maldives,73.40000153,-0.268886298,35021,24329
61,95,Fuvahmulah Atoll,Maldives,Maldives,73.41999816894531,-0.268886298,214598,24330
62,121,Centurion and Ganges Banks,Southern Banks,Chagos,70.81999969482422,-7.68564415,516662,30976
63,121,Centurion and Ganges Banks,Southern Banks,Chagos,70.83999633789062,-7.68564415,82994,30977
64,121,Centurion and Ganges Banks,Southern Banks,Chagos,70.80000305175781,-7.665823936,930174,30978
65,121,Centurion and Ganges Banks,Southern Banks,Chagos,70.81999969482422,-7.665823936,2381388,30979
66,121,Centurion and Ganges Banks,Southern Banks,Chagos,70.83999633789062,-7.665823936,477809,30980
67,121,Centurion and Ganges Banks,Southern Banks,Chagos,70.77999877929688,-7.646002769,614978,30981
68,121,Centurion and Ganges Banks,Southern Banks,Chagos,70.80000305175781,-7.646002769,2594163,30982
69,121,Centurion and Ganges Banks,Southern Banks,Chagos,70.81999969482422,-7.646002769,838789,30983
70,121,Centurion and Ganges Banks,Southern Banks,Chagos,70.83999633789062,-7.646002769,137989,30984
71,121,Centurion and Ganges Banks,Southern Banks,Chagos,70.77999877929688,-7.626180649,457836,30985
72,121,Centurion and Ganges Banks,Southern Banks,Chagos,70.80000305175781,-7.626180649,527971,30986
73,121,Centurion and Ganges Banks,Southern Banks,Chagos,70.94000244140625,-7.388243198,181675,30987
74,121,Centurion and Ganges Banks,Southern Banks,Chagos,70.95999908447266,-7.388243198,89104,30988
75,121,Centurion and Ganges Banks,Southern Banks,Chagos,70.94000244140625,-7.368409157,10761,30989
76,121,Centurion and Ganges Banks,Southern Banks,Chagos,70.95999908447266,-7.368409157,139357,30990
77,123,Pitt Bank S,Southern Banks,Chagos,71.41999816894531,-7.348574638,125768,31488
78,123,Pitt Bank S,Southern Banks,Chagos,71.44000244140625,-7.348574638,401655,31489
79,123,Pitt Bank S,Southern Banks,Chagos,71.45999908447266,-7.348574638,716851,31490
80,123,Pitt Bank S,Southern Banks,Chagos,71.48000336,-7.348574638,340094,31491
81,123,Pitt Bank S,Southern Banks,Chagos,71.5,-7.348574638,68128,31492
82,123,Pitt Bank S,Southern Banks,Chagos,71.37999725341797,-7.328738689,37210,31493
83,123,Pitt Bank S,Southern Banks,Chagos,71.40000153,-7.328738689,900077,31494
84,123,Pitt Bank S,Southern Banks,Chagos,71.41999816894531,-7.328738689,243237,31495
85,123,Pitt Bank S,Southern Banks,Chagos,71.44000244140625,-7.328738689,341826,31496
86,123,Pitt Bank S,Southern Banks,Chagos,71.45999908447266,-7.328738689,169180,31497
87,123,Pitt Bank S,Southern Banks,Chagos,71.48000336,-7.328738689,159057,31498
88,123,Pitt Bank S,Southern Banks,Chagos,71.5,-7.328738689,166444,31499
89,123,Pitt Bank S,Southern Banks,Chagos,71.37999725341797,-7.308902264,875087,31500
90,123,Pitt Bank S,Southern Banks,Chagos,71.40000153,-7.308902264,250442,31501
91,123,Pitt Bank S,Southern Banks,Chagos,71.5,-7.308902264,834411,31502
92,123,Pitt Bank S,Southern Banks,Chagos,71.51999664,-7.308902264,141181,31503
93,123,Pitt Bank S,Southern Banks,Chagos,71.37999725341797,-7.289064407,7113,31504
94,123,Pitt Bank S,Southern Banks,Chagos,71.48000336,-7.289064407,14501,31505
95,123,Pitt Bank S,Southern Banks,Chagos,71.5,-7.289064407,456468,31506
96,123,Pitt Bank S,Southern Banks,Chagos,71.36000061035156,-7.269226074,192346,31507
97,123,Pitt Bank S,Southern Banks,Chagos,71.37999725341797,-7.269226074,3830,31508
98,123,Pitt Bank S,Southern Banks,Chagos,71.41999816894531,-7.269226074,52715,31509
99,123,Pitt Bank S,Southern Banks,Chagos,71.45999908447266,-7.269226074,35842,31510
100,123,Pitt Bank S,Southern Banks,Chagos,71.48000336,-7.269226074,58369,31511
101,123,Pitt Bank S,Southern Banks,Chagos,71.5,-7.269226074,1745798,31512
102,123,Pitt Bank S,Southern Banks,Chagos,71.51999664,-7.269226074,113547,31513
103,123,Pitt Bank S,Southern Banks,Chagos,71.36000061035156,-7.249386787,146744,31514
104,123,Pitt Bank S,Southern Banks,Chagos,71.40000153,-7.249386787,112179,31515
105,123,Pitt Bank S,Southern Banks,Chagos,71.41999816894531,-7.249386787,47425,31516
106,123,Pitt Bank S,Southern Banks,Chagos,71.44000244140625,-7.249386787,323768,31517
107,123,Pitt Bank S,Southern Banks,Chagos,71.45999908447266,-7.249386787,206117,31518
108,123,Pitt Bank S,Southern Banks,Chagos,71.48000336,-7.249386787,8208,31519
109,123,Pitt Bank S,Southern Banks,Chagos,71.5,-7.249386787,2367069,31520
110,123,Pitt Bank S,Southern Banks,Chagos,71.51999664,-7.249386787,62200,31521
111,123,Pitt Bank S,Southern Banks,Chagos,71.33999633789062,-7.229547024,153311,31522
112,123,Pitt Bank S,Southern Banks,Chagos,71.36000061035156,-7.229547024,122302,31523
113,123,Pitt Bank S,Southern Banks,Chagos,71.48000336,-7.229547024,511646,31524
114,123,Pitt Bank S,Southern Banks,Chagos,71.5,-7.229547024,1787477,31525
115,123,Pitt Bank S,Southern Banks,Chagos,71.31999969482422,-7.20970583,76701,31526
116,123,Pitt Bank S,Southern Banks,Chagos,71.33999633789062,-7.20970583,225817,31527
117,123,Pitt Bank S,Southern Banks,Chagos,71.40000153,-7.20970583,2006,31528
118,123,Pitt Bank S,Southern Banks,Chagos,71.48000336,-7.20970583,1185814,31529
119,123,Pitt Bank S,Southern Banks,Chagos,71.5,-7.20970583,61926,31530
120,123,Pitt Bank S,Southern Banks,Chagos,71.31999969482422,-7.189864159,261933,31531
121,123,Pitt Bank S,Southern Banks,Chagos,71.33999633789062,-7.189864159,5563,31532
122,123,Pitt Bank S,Southern Banks,Chagos,71.45999908447266,-7.189864159,668149,31533
123,123,Pitt Bank S,Southern Banks,Chagos,71.48000336,-7.189864159,871348,31534
124,123,Pitt Bank S,Southern Banks,Chagos,71.45999908447266,-7.170021057,568647,31535
125,123,Pitt Bank S,Southern Banks,Chagos,71.44000244140625,-7.150177479,309358,31536
126,123,Pitt Bank S,Southern Banks,Chagos,71.45999908447266,-7.150177479,621362,31537
127,123,Pitt Bank S,Southern Banks,Chagos,71.44000244140625,-7.130333424,62473,31538
128,123,Pitt Bank S,Southern Banks,Chagos,71.45999908447266,-7.130333424,1580812,31539
129,124,Pitt Bank C,Southern Banks,Chagos,71.37999725341797,-7.189864159,27725,31744
130,124,Pitt Bank C,Southern Banks,Chagos,71.30000305175781,-7.170021057,274701,31745
131,124,Pitt Bank C,Southern Banks,Chagos,71.31999969482422,-7.170021057,56636,31746
