region,metric,removal_percent,edges_lost,efficiency_loss_percent,nodes_removed,original_efficiency,new_efficiency,node_impacts,node_count,edge_count,subregion,condition
IO,betweenness,5,2717,0.10060313203426041,"[58, 57, 93, 48, 94, 96, 53, 95, 30]",0.9870266914959652,0.9860337117303062,"{58: 0.0030632163972901675, 57: 0.002487789344090653, 93: 0.0024630846707136052, 48: 0.0020038308874081832, 94: 0.0019237456527733804, 96: 0.0018335179264242585, 53: 0.0017385372215805398, 95: 0.0017257705325012605, 30: 0.001691959451490072}",180,27601,,
IO,betweenness,10,5483,0.16171055646286847,"[58, 57, 93, 48, 94, 96, 53, 95, 30, 90, 47, 49, 50, 51, 52, 54, 46, 65]",0.9870266914959652,0.98543056514071,"{58: 0.0030632163972901675, 57: 0.002487789344090653, 93: 0.0024630846707136052, 48: 0.0020038308874081832, 94: 0.0019237456527733804, 96: 0.0018335179264242585, 53: 0.0017385372215805398, 95: 0.0017257705325012605, 30: 0.001691959451490072, 90: 0.0016818817346079314, 47: 0.0016386529747589736, 49: 0.0016386529747589736, 50: 0.0016386529747589736, 51: 0.0016386529747589736, 52: 0.0016386529747589736, 54: 0.0016386529747589736, 46: 0.0016220254346951176, 65: 0.0015795609314905525}",180,27601,,
IO,betweenness,15,8105,0.23652542054426462,"[58, 57, 93, 48, 94, 96, 53, 95, 30, 90, 47, 49, 50, 51, 52, 54, 46, 65, 62, 92, 66, 139, 140, 61, 55, 142, 143]",0.9870266914959652,0.9846921224630203,"{58: 0.0030632163972901675, 57: 0.002487789344090653, 93: 0.0024630846707136052, 48: 0.0020038308874081832, 94: 0.0019237456527733804, 96: 0.0018335179264242585, 53: 0.0017385372215805398, 95: 0.0017257705325012605, 30: 0.001691959451490072, 90: 0.0016818817346079314, 47: 0.0016386529747589736, 49: 0.0016386529747589736, 50: 0.0016386529747589736, 51: 0.0016386529747589736, 52: 0.0016386529747589736, 54: 0.0016386529747589736, 46: 0.0016220254346951176, 65: 0.0015795609314905525, 62: 0.001578108023331758, 92: 0.001560514223403204, 66: 0.001554487228154767, 139: 0.0015535863402237893, 140: 0.0015535863402237893, 61: 0.0015530343199959718, 55: 0.001530890721782238, 142: 0.0015285713557338754, 143: 0.0015285713557338754}",180,27601,,
GBR_tides-only_Cairns,degree,5,18,22.28108984414555,"[28, 65, 33, 34]",0.03933972663139327,0.030574406796211283,"{28: 0.1, 65: 0.1, 33: 0.08750000000000001, 34: 0.08750000000000001}",81,122,Cairns,tides-only
GBR_tides-only_Cairns,degree,10,33,42.79347037976857,"[28, 65, 33, 34, 52, 2, 31, 36]",0.03933972663139327,0.022504892367906062,"{28: 0.1, 65: 0.1, 33: 0.08750000000000001, 34: 0.08750000000000001, 52: 0.07500000000000001, 2: 0.0625, 31: 0.0625, 36: 0.0625}",81,122,Cairns,tides-only
GBR_tides-only_Cairns,degree,15,46,57.74235780415906,"[28, 65, 33, 34, 52, 2, 31, 36, 46, 48, 51, 55]",0.03933972663139327,0.016624040920716114,"{28: 0.1, 65: 0.1, 33: 0.08750000000000001, 34: 0.08750000000000001, 52: 0.07500000000000001, 2: 0.0625, 31: 0.0625, 36: 0.0625, 46: 0.0625, 48: 0.0625, 51: 0.0625, 55: 0.0625}",81,122,Cairns,tides-only
GBR_tides-only_Grenville,degree,5,269,62.95871836878568,"[284, 60, 311, 317, 633, 178, 278, 320, 324, 387, 461, 626, 24, 62, 94, 100, 383, 468, 471, 503, 64, 105, 144, 167, 171, 201, 244, 245, 246, 285, 294, 316]",0.05245559048864357,0.019430223004214934,"{284: 0.02923076923076923, 60: 0.026153846153846153, 311: 0.023076923076923078, 317: 0.02, 633: 0.01846153846153846, 178: 0.016923076923076923, 278: 0.016923076923076923, 320: 0.016923076923076923, 324: 0.016923076923076923, 387: 0.016923076923076923, 461: 0.016923076923076923, 626: 0.016923076923076923, 24: 0.015384615384615385, 62: 0.015384615384615385, 94: 0.015384615384615385, 100: 0.015384615384615385, 383: 0.015384615384615385, 468: 0.015384615384615385, 471: 0.015384615384615385, 503: 0.015384615384615385, 64: 0.013846153846153847, 105: 0.013846153846153847, 144: 0.013846153846153847, 167: 0.013846153846153847, 171: 0.013846153846153847, 201: 0.013846153846153847, 244: 0.013846153846153847, 245: 0.013846153846153847, 246: 0.013846153846153847, 285: 0.013846153846153847, 294: 0.013846153846153847, 316: 0.013846153846153847}",651,1279,Grenville,tides-only
GBR_tides-only_Grenville,degree,10,439,82.82695976342504,"[284, 60, 311, 317, 633, 178, 278, 320, 324, 387, 461, 626, 24, 62, 94, 100, 383, 468, 471, 503, 64, 105, 144, 167, 171, 201, 244, 245, 246, 285, 294, 316, 384, 388, 491, 500, 579, 616, 67, 93, 131, 184, 188, 204, 205, 214, 217, 325, 346, 389, 395, 478, 587, 592, 610, 612, 632, 25, 63, 77, 78, 81, 101, 103, 107]",0.05245559048864357,0.009008219660947753,"{284: 0.02923076923076923, 60: 0.026153846153846153, 311: 0.023076923076923078, 317: 0.02, 633: 0.01846153846153846, 178: 0.016923076923076923, 278: 0.016923076923076923, 320: 0.016923076923076923, 324: 0.016923076923076923, 387: 0.016923076923076923, 461: 0.016923076923076923, 626: 0.016923076923076923, 24: 0.015384615384615385, 62: 0.015384615384615385, 94: 0.015384615384615385, 100: 0.015384615384615385, 383: 0.015384615384615385, 468: 0.015384615384615385, 471: 0.015384615384615385, 503: 0.015384615384615385, 64: 0.013846153846153847, 105: 0.013846153846153847, 144: 0.013846153846153847, 167: 0.013846153846153847, 171: 0.013846153846153847, 201: 0.013846153846153847, 244: 0.013846153846153847, 245: 0.013846153846153847, 246: 0.013846153846153847, 285: 0.013846153846153847, 294: 0.013846153846153847, 316: 0.013846153846153847, 384: 0.013846153846153847, 388: 0.013846153846153847, 491: 0.013846153846153847, 500: 0.013846153846153847, 579: 0.013846153846153847, 616: 0.013846153846153847, 67: 0.012307692307692308, 93: 0.012307692307692308, 131: 0.012307692307692308, 184: 0.012307692307692308, 188: 0.012307692307692308, 204: 0.012307692307692308, 205: 0.012307692307692308, 214: 0.012307692307692308, 217: 0.012307692307692308, 325: 0.012307692307692308, 346: 0.012307692307692308, 389: 0.012307692307692308, 395: 0.012307692307692308, 478: 0.012307692307692308, 587: 0.012307692307692308, 592: 0.012307692307692308, 610: 0.012307692307692308, 612: 0.012307692307692308, 632: 0.012307692307692308, 25: 0.010769230769230769, 63: 0.010769230769230769, 77: 0.010769230769230769, 78: 0.010769230769230769, 81: 0.010769230769230769, 101: 0.010769230769230769, 103: 0.010769230769230769, 107: 0.010769230769230769}",651,1279,Grenville,tides-only
GBR_tides-only_Grenville,degree,15,564,89.00191945545328,"[284, 60, 311, 317, 633, 178, 278, 320, 324, 387, 461, 626, 24, 62, 94, 100, 383, 468, 471, 503, 64, 105, 144, 167, 171, 201, 244, 245, 246, 285, 294, 316, 384, 388, 491, 500, 579, 616, 67, 93, 131, 184, 188, 204, 205, 214, 217, 325, 346, 389, 395, 478, 587, 592, 610, 612, 632, 25, 63, 77, 78, 81, 101, 103, 107, 109, 111, 130, 146, 151, 183, 198, 202, 213, 216, 251, 265, 279, 286, 291, 298, 318, 331, 335, 472, 492, 493, 583, 631, 638, 645, 20, 59, 66, 68, 75, 76]",0.05245559048864357,0.005769108092058612,"{284: 0.02923076923076923, 60: 0.026153846153846153, 311: 0.023076923076923078, 317: 0.02, 633: 0.01846153846153846, 178: 0.016923076923076923, 278: 0.016923076923076923, 320: 0.016923076923076923, 324: 0.016923076923076923, 387: 0.016923076923076923, 461: 0.016923076923076923, 626: 0.016923076923076923, 24: 0.015384615384615385, 62: 0.015384615384615385, 94: 0.015384615384615385, 100: 0.015384615384615385, 383: 0.015384615384615385, 468: 0.015384615384615385, 471: 0.015384615384615385, 503: 0.015384615384615385, 64: 0.013846153846153847, 105: 0.013846153846153847, 144: 0.013846153846153847, 167: 0.013846153846153847, 171: 0.013846153846153847, 201: 0.013846153846153847, 244: 0.013846153846153847, 245: 0.013846153846153847, 246: 0.013846153846153847, 285: 0.013846153846153847, 294: 0.013846153846153847, 316: 0.013846153846153847, 384: 0.013846153846153847, 388: 0.013846153846153847, 491: 0.013846153846153847, 500: 0.013846153846153847, 579: 0.013846153846153847, 616: 0.013846153846153847, 67: 0.012307692307692308, 93: 0.012307692307692308, 131: 0.012307692307692308, 184: 0.012307692307692308, 188: 0.012307692307692308, 204: 0.012307692307692308, 205: 0.012307692307692308, 214: 0.012307692307692308, 217: 0.012307692307692308, 325: 0.012307692307692308, 346: 0.012307692307692308, 389: 0.012307692307692308, 395: 0.012307692307692308, 478: 0.012307692307692308, 587: 0.012307692307692308, 592: 0.012307692307692308, 610: 0.012307692307692308, 612: 0.012307692307692308, 632: 0.012307692307692308, 25: 0.010769230769230769, 63: 0.010769230769230769, 77: 0.010769230769230769, 78: 0.010769230769230769, 81: 0.010769230769230769, 101: 0.010769230769230769, 103: 0.010769230769230769, 107: 0.010769230769230769, 109: 0.010769230769230769, 111: 0.010769230769230769, 130: 0.010769230769230769, 146: 0.010769230769230769, 151: 0.010769230769230769, 183: 0.010769230769230769, 198: 0.010769230769230769, 202: 0.010769230769230769, 213: 0.010769230769230769, 216: 0.010769230769230769, 251: 0.010769230769230769, 265: 0.010769230769230769, 279: 0.010769230769230769, 286: 0.010769230769230769, 291: 0.010769230769230769, 298: 0.010769230769230769, 318: 0.010769230769230769, 331: 0.010769230769230769, 335: 0.010769230769230769, 472: 0.010769230769230769, 492: 0.010769230769230769, 493: 0.010769230769230769, 583: 0.010769230769230769, 631: 0.010769230769230769, 638: 0.010769230769230769, 645: 0.010769230769230769, 20: 0.00923076923076923, 59: 0.00923076923076923, 66: 0.00923076923076923, 68: 0.00923076923076923, 75: 0.00923076923076923, 76: 0.00923076923076923}",651,1279,Grenville,tides-only
GBR_tides-only_Swain,degree,5,379,50.51178303899002,"[288, 292, 332, 226, 271, 111, 187, 59, 130, 252, 293, 120, 151, 191, 267, 290, 331, 266, 77, 153, 227, 248, 141, 253, 55, 113, 154, 157, 188]",0.08317306792451098,0.0411608683076102,"{288: 0.04915254237288135, 292: 0.04406779661016949, 332: 0.0423728813559322, 226: 0.04067796610169491, 271: 0.04067796610169491, 111: 0.03728813559322034, 187: 0.03559322033898305, 59: 0.03389830508474576, 130: 0.03389830508474576, 252: 0.03389830508474576, 293: 0.03389830508474576, 120: 0.03220338983050847, 151: 0.03220338983050847, 191: 0.03220338983050847, 267: 0.030508474576271184, 290: 0.0288135593220339, 331: 0.0288135593220339, 266: 0.02711864406779661, 77: 0.02542372881355932, 153: 0.02542372881355932, 227: 0.02542372881355932, 248: 0.023728813559322035, 141: 0.022033898305084745, 253: 0.022033898305084745, 55: 0.020338983050847456, 113: 0.020338983050847456, 154: 0.020338983050847456, 157: 0.020338983050847456, 188: 0.020338983050847456}",591,1151,Swain,tides-only
